"","Day","status","Genotype","Treatment","Bacteria","N_worms","MeanWLS","lifespan_type","label_"
"1",4,0,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"2",4,0,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"3",4,0,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"4",6,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"5",7,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"6",10,0,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"7",10,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"8",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"9",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"10",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"11",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"12",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"13",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"14",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"15",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"16",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"17",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"18",12,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"19",13,0,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"20",13,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"21",13,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"22",13,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"23",13,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"24",13,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"25",13,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
"26",14,1,"N2","Vehicle","PAD12",30,12.12,"Vehicle","N2 + Vehicle (12.1, 30)"
