"","Day","status","Genotype","Treatment","Bacteria","N_worms","MeanWLS","lifespan_type","label_"
"1",8,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"2",8,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"3",8,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"4",12,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"5",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"6",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"7",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"8",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"9",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"10",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"11",18,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"12",20,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"13",22,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"14",25,1,"N2","","PAD12",14,16.3571428571429,"","N2 (16.4, 14)"
"15",7,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"16",7,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"17",9,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"18",18,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"19",18,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"20",18,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"21",23,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"22",23,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
"23",30,1,"<i>daf-2(e1370)</i>","","PAD12",9,17,"","<i>daf-2(e1370)</i> (17, 9)"
