Lifespan Number → ,,WAMLS,,,,,,,,,,,,,,,,Lifespan Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worm Strain → ,,,daf-2,,Date Eggs Picked → ,,,,,06/21/23,,,Temp → ,,20c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bacteria → ,,PAD12,,,Date FUDR Added → ,,,,,06/23/23,,,Color → ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Treatment → ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,,,,,,,,,,,,,,
,Initials,JT,JT,JT,JT,JT,JT,JT,AA,,JT,,JT,JT,JT,,AA,JT,JT,JT,JT,JT,AA,AA,AA,AA,AA,AA,AA,AA,,AA,AA,AA,AA,,,,,,,,,,,,,,,,
QR,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
11,A,5,5,5,5,5,5,5,5,,5,,4,3,3,,3,3,2,2,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,0,,0,,1,1,0,,0,0,1,0,2,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
12,A,3,3,3,3,3,3,3,2,,2,,2,2,2,,1,1,1,1,1,1,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,0,,0,,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,1,,0,,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
13,A,8,8,8,8,8,6,6,6,,6,,6,6,6,,5,5,5,4,4,3,1,1,1,1,1,,1,1,,1,1,1,0,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,1,0,0,,0,,0,0,0,,1,0,0,1,0,1,1,0,0,0,0,,0,0,,0,0,0,1,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,1,0,0,,0,,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
14,A,12,12,11,11,11,11,10,8,,7,,6,4,4,,3,3,3,2,2,1,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,1,,1,,1,2,0,,1,0,0,1,0,1,1,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M,0,0,1,0,0,0,1,1,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
15,A,4,4,4,4,4,4,4,4,,3,,3,3,3,,3,2,1,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,1,1,0,1,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M,0,0,0,0,0,0,0,0,,1,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
16,A,6,6,6,6,6,6,6,5,,5,,5,5,5,,5,4,2,2,1,1,1,1,1,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,D,0,0,0,0,0,0,0,1,,0,,0,0,0,,0,1,2,0,1,0,0,0,0,1,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-E,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
,M-B,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
